Crops,Infarm code ,DAH,Rep,Treatment,Weight loss (%),Overall Marketability,Condensation,Discoloration ,Wilting,Decay,Off odour,O2 (%),CO2 (%),Ethylene (ppm),Colour (L),Colour (a),Colour (b)
Mint,Mn24,1,3,Ctrl,0,4,3,4,4,4,4,18.3,1.82,0,55.48,-5.08,33.79
Mint,Mn24,6,1,Ctrl,0.07,3,3,4,3,4,3,14.6,4.07,0,,,
Mint,Mn24,6,2,Ctrl,0.18,3,2,4,4,3,4,17.8,2.49,0,,,
Mint,Mn24,6,3,Ctrl,0.17,3,3,4,4,4,3,18.7,1.49,0,,,
Mint,Mn24,12,1,Ctrl,0.5,2,2,2,2,2,2,14.9,3.03,0,64.53,-1.9,44.76
Mint,Mn24,12,2,Ctrl,0.6,2,2,3,3,2,1,11.6,5.23,0,55.79,9.76,32.09
Mint,Mn24,12,3,Ctrl,0.54,2,2,4,3,2,2,13.5,4.15,0,61.44,-4.3,41.57
Mint,Mn24,1,1,UVC 5min,0,4,3,4,4,4,4,18.3,1.76,0,51.21,7.875,27.7
Mint,Mn24,1,2,UVC 5min,0,4,3,4,4,5,4,18.3,1.76,0,54.86,-8.3,34.31
Mint,Mn24,1,3,UVC 5min,0,4,3,4,4,5,4,18.6,1.46,0,53.41,-7.16,31.61
Mint,Mn24,6,1,UVC 5min,0.23,4,3,4,4,4,4,15.1,3.9,0,,,
Mint,Mn24,6,2,UVC 5min,0.49,3,3,4,4,3,4,15.3,4.01,0,,,
Mint,Mn24,6,3,UVC 5min,0.27,4,3,4,4,4,4,16.7,2.75,0,,,
Mint,Mn24,12,1,UVC 5min,0.4,2,3,3,3,2,2,12.9,4.51,0,56.36,4.315,35.27
Mint,Mn24,12,2,UVC 5min,0.41,2,2,3,3,2,2,13.5,4.43,0,54.15,5.535,33.79
Mint,Mn24,12,3,UVC 5min,0.5,2,2,3,3,2,2,12.9,4.57,0,51.97,0.76,30.27
Mint,Mn24,1,1,UVC 8min,0,4,3,4,4,4,4,17.7,2.67,0,57.57,-2.915,39.79
Mint,Mn24,1,2,UVC 8min,0,4,3,4,4,3,4,18.5,1.7,0,56.84,-7.63,35.58
Mint,Mn24,1,3,UVC 8min,0,4,3,4,4,3,4,18.4,1.79,0,57.66,-2.015,39.21
Mint,Mn24,6,1,UVC 8min,0.54,4,3,4,3,4,4,14.8,4.14,0,,,
Mint,Mn24,6,2,UVC 8min,0.66,4,3,4,3,3,4,16.1,2.99,0,,,
Mint,Mn24,6,3,UVC 8min,0.62,3,3,4,3,3,4,15.4,3.48,0,,,
Mint,Mn24,12,1,UVC 8min,1.22,2,3,3,3,2,3,12.9,4.64,0,60.3,27.03,40.88
Mint,Mn24,12,2,UVC 8min,1.16,2,3,3,3,2,2,14.5,4.08,0.6,50.4,11.93,28.46
Mint,Mn24,12,3,UVC 8min,1.13,2,3,3,3,2,3,12.9,4.39,0.7,56.51,-1.94,34.56
Mountain coriander,Cr26,1,1,Ctrl,0,3,3,4,4,3,4,17.1,2.68,0,43.09,-0.4,27.49
Mountain coriander,Cr26,1,2,Ctrl,0,4,3,4,4,4,5,18.4,1.4,0,41.91,-12.07,28.87
Mountain coriander,Cr26,1,3,Ctrl,0,4,3,4,3,4,5,16.7,2.91,0,42.73,-11.1,28.85
Mountain coriander,Cr26,6,1,Ctrl,0.17,3,3,4,4,4,3,13.2,3.04,0,,,
Mountain coriander,Cr26,6,2,Ctrl,0.16,2,3,3,4,2,2,13.4,3.59,0,,,
Mountain coriander,Cr26,6,3,Ctrl,0.05,3,3,4,4,3,2,14.3,6.48,0,,,
Mountain coriander,Cr26,12,1,Ctrl,0.28,2,2,2,3,2,3,15.89,2.73,0,39.31,-7.995,26.65
Mountain coriander,Cr26,12,2,Ctrl,0.49,2,2,1,2,2,3,16.2,2.75,0,41.08,-3.205,26.3
Mountain coriander,Cr26,12,3,Ctrl,0.43,2,2,2,2,2,3,15.22,2.83,0,29.44,-14.96,22.13
Mountain coriander,Cr26,1,1,UVC 5min,0,4,3,5,5,5,4,20.2,2.16,0,43.93,-10.53,25.25
Mountain coriander,Cr26,1,2,UVC 5min,0,4,3,5,5,4,4,17.9,1.52,0,42.75,-7.665,25.9
Mountain coriander,Cr26,1,3,UVC 5min,0,4,3,5,5,4,4,17.1,2.84,0,41.27,-9.97,28.5
Mountain coriander,Cr26,6,1,UVC 5min,0.62,4,3,4,4,4,2,14.3,5.98,0,,,
Mountain coriander,Cr26,6,2,UVC 5min,0.23,4,3,4,4,4,2,13.2,7.07,5.4,,,
