Crop ,Tray_position ,Replicate ,Treatment ,day ,date       ,batchid         ,tray ,planteye_id ,digital_biomass__avg ,digital_biomass__max ,digital_biomass__min ,height__avg   ,height__max ,height__min ,height_max__avg ,height_max__max ,height_max__min ,leaf_area_index__avg ,leaf_area_index__max ,leaf_area_index__min ,proj_area__avg ,proj_area__max ,proj_area__min ,ndvi_aver__avg ,ndvi_aver__max ,ndvi_aver__min ,greenness_aver__avg ,greenness_aver__max ,greenness_aver__min ,hue_aver__avg ,hue_aver__max ,hue_aver__min ,area_3d__avg   ,area_3d__max ,area_3d__min ,leaf_inclination__avg ,leaf_inclination__max ,leaf_inclination__min ,leaf_angle__avg ,leaf_angle__max ,leaf_angle__min ,light_pen_depth__avg ,light_pen_depth__max ,light_pen_depth__min ,npci_aver__avg ,npci_aver__max ,npci_aver__min ,psri_aver__avg ,psri_aver__max ,psri_aver__min
Mn24 ,B8            ,4,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,7,scan1       ,263598.562,263598.562,263598.562,8.574,8.574,8.574,16.161,16.161,16.161,0.131,0.131,0.131,21011.855,21011.855,21011.855,0.63095,0.63095,0.63095,0.39108,0.39108,0.39108,102.55471,102.55471,102.55471,30742.502,30742.502,30742.502,1.46077,1.46077,1.46077,43.2,43.2,43.2,7.197,7.197,7.197,0.23257,0.23257,0.23257,0.08217,0.08217,0.08217
Bs49 ,B9            ,4,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,8,scan1       ,400541.469,400541.469,400541.469,11.014,11.014,11.014,20.687,20.687,20.687,0.155,0.155,0.155,23698.746,23698.746,23698.746,0.69334,0.69334,0.69334,0.42355,0.42355,0.42355,104.91582,104.91582,104.91582,36366.047,36366.047,36366.047,1.53097,1.53097,1.53097,40.781,40.781,40.781,9.153,9.153,9.153,0.23551,0.23551,0.23551,0.06228,0.06228,0.06228
Mn24 ,A1            ,1,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,0,scan2       ,872002.375,872002.375,872002.375,18.873,18.873,18.873,27.632,27.632,27.632,0.197,0.197,0.197,30651.605,30651.605,30651.605,0.62381,0.62381,0.62381,0.38988,0.38988,0.38988,102.4846,102.4846,102.4846,46204.254,46204.254,46204.254,1.50121,1.50121,1.50121,41.768,41.768,41.768,12.121,12.121,12.121,0.24152,0.24152,0.24152,0.08425,0.08425,0.08425
Mn24 ,A2            ,2,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,1,scan2       ,937752.438,937752.438,937752.438,17.626,17.626,17.626,52.127,52.127,52.127,0.227,0.227,0.227,35406.766,35406.766,35406.766,0.62554,0.62554,0.62554,0.38827,0.38827,0.38827,102.46261,102.46261,102.46261,53201.297,53201.297,53201.297,1.49907,1.49907,1.49907,41.841,41.841,41.841,12.319,12.319,12.319,0.23883,0.23883,0.23883,0.08327,0.08327,0.08327
Cr31 ,A3            ,1,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,2,scan2       ,2158082.75,2158082.75,2158082.75,41.563,41.563,41.563,58.057,58.057,58.057,0.222,0.222,0.222,33968.465,33968.465,33968.465,0.59576,0.59576,0.59576,0.36699,0.36699,0.36699,103.16663,103.16663,103.16663,51923.34,51923.34,51923.34,1.5115,1.5115,1.5115,41.42,41.42,41.42,31.488,31.488,31.488,0.23141,0.23141,0.23141,0.08161,0.08161,0.08161
Mn24 ,A4            ,3,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,3,scan2       ,691464.938,691464.938,691464.938,20.502,20.502,20.502,50.368,50.368,50.368,0.144,0.144,0.144,23328.533,23328.533,23328.533,0.62331,0.62331,0.62331,0.38954,0.38954,0.38954,101.73338,101.73338,101.73338,33727.438,33727.438,33727.438,1.43851,1.43851,1.43851,44.039,44.039,44.039,18.18,18.18,18.18,0.24582,0.24582,0.24582,0.08749,0.08749,0.08749
Cr31 ,A5            ,2,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,4,scan2       ,1562362.375,1562362.375,1562362.375,38.599,38.599,38.599,54.854,54.854,54.854,0.173,0.173,0.173,25977.305,25977.305,25977.305,0.58524,0.58524,0.58524,0.3617,0.3617,0.3617,103.21689,103.21689,103.21689,40476.246,40476.246,40476.246,1.54663,1.54663,1.54663,40.282,40.282,40.282,29.567,29.567,29.567,0.22833,0.22833,0.22833,0.08278,0.08278,0.08278
Pr26 ,B1            ,2,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,5,scan2       ,222891.672,222891.672,222891.672,9.515,9.515,9.515,17.008,17.008,17.008,0.1,0.1,0.1,16016.711,16016.711,16016.711,0.57465,0.57465,0.57465,0.37575,0.37575,0.37575,100.31156,100.31156,100.31156,23425.408,23425.408,23425.408,1.45607,1.45607,1.45607,43.375,43.375,43.375,8.073,8.073,8.073,0.25272,0.25272,0.25272,0.1047,0.1047,0.1047
Bs49 ,B2            ,1,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,6,scan2       ,117838.375,117838.375,117838.375,7.722,7.722,7.722,12.769,12.769,12.769,0.065,0.065,0.065,10961.472,10961.472,10961.472,0.69935,0.69935,0.69935,0.42586,0.42586,0.42586,105.14815,105.14815,105.14815,15260.959,15260.959,15260.959,1.39304,1.39304,1.39304,45.876,45.876,45.876,6.535,6.535,6.535,0.22844,0.22844,0.22844,0.06147,0.06147,0.06147
Bs79 ,B3            ,4,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,7,scan2       ,846648.5,846648.5,846648.5,18.568,18.568,18.568,45.643,45.643,45.643,0.195,0.195,0.195,31295.047,31295.047,31295.047,0.72651,0.72651,0.72651,-0.05579,-0.05579,-0.05579,11.45208,11.45208,11.45208,45596.152,45596.152,45596.152,1.45213,1.45213,1.45213,43.521,43.521,43.521,13.649,13.649,13.649,0.16583,0.16583,0.16583,0.03638,0.03638,0.03638
